                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,1468.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,FRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
2,FRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
3,FRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
4,FRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
5,FRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
6,FRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
7,FRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
8,FRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
9,FRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
10,FRS 10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,FRS 11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,FRS 12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,FRS 13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,FRS 14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
15,FRS 15,462.550000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
16,FRS 16,462.575000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
17,FRS 17,462.600000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
18,FRS 18,462.625000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
19,FRS 19,462.650000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
20,FRS 20,462.675000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
21,FRS 21,462.700000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
22,FRS 22,462.725000,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
23,GMRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
24,GMRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
25,GMRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
26,GMRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
27,GMRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
28,GMRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
29,GMRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
30,GMRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
31,GMRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
32,GMRS 10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
33,GMRS 11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
34,GMRS 12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
35,GMRS 13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
36,GMRS 14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
37,GMRS 15,462.550000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
38,GMRS 16,462.575000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
39,GMRS 17,462.600000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
40,GMRS 18,462.625000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
41,GMRS 19,462.650000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
42,GMRS 20,462.675000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
43,GMRS 21,462.700000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
44,GMRS 22,462.725000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
45,GMRS 550/15R,462.550000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
46,GMRS 575/16R,462.575000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
47,GMRS 600/17R,462.600000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
48,GMRS 625/18R,462.625000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
49,GMRS 650/19R,462.650000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
50,GMRS 675/20R,462.675000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
51,GMRS 700/21R,462.700000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
52,GMRS 725/22R,462.725000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
53,AAR054,160.920000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,AAR055,160.935000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
55,AAR056,160.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,AAR057,160.965000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,AAR058,160.980000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,AAR059,160.995000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
59,AAR060,161.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,AAR061,161.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,AAR062,161.040000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,AAR063,161.055000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,AAR064,161.070000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,AAR065,161.085000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,AAR066,161.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,AAR067,161.115000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,AAR068,161.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,AAR069,161.145000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,AAR070,161.160000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,AAR071,161.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,AAR072,161.190000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,AAR073,161.205000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,AAR074,161.220000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,AAR075,161.235000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,AAR076,161.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
76,AAR077,161.265000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
